,CIK,Company Name,Form Type,Date Filed,Filename
21471,1056696,MANHATTAN ASSOCIATES INC,4,2/3/2015,edgar/data/1056696/0001209191-15-008866.txt
21472,1056696,MANHATTAN ASSOCIATES INC,4,2/3/2015,edgar/data/1056696/0001209191-15-008869.txt
21473,1056696,MANHATTAN ASSOCIATES INC,4,2/3/2015,edgar/data/1056696/0001209191-15-008872.txt
21474,1056696,MANHATTAN ASSOCIATES INC,4,2/3/2015,edgar/data/1056696/0001209191-15-008874.txt
21475,1056696,MANHATTAN ASSOCIATES INC,4,2/3/2015,edgar/data/1056696/0001209191-15-008878.txt
21476,1056696,MANHATTAN ASSOCIATES INC,4,2/6/2015,edgar/data/1056696/0001209191-15-010327.txt
21477,1056696,MANHATTAN ASSOCIATES INC,4,2/6/2015,edgar/data/1056696/0001209191-15-010332.txt
21478,1056696,MANHATTAN ASSOCIATES INC,4,2/6/2015,edgar/data/1056696/0001209191-15-010335.txt
21479,1056696,MANHATTAN ASSOCIATES INC,4,2/18/2015,edgar/data/1056696/0001209191-15-015392.txt
21480,1056696,MANHATTAN ASSOCIATES INC,4,2/18/2015,edgar/data/1056696/0001209191-15-015396.txt
21481,1056696,MANHATTAN ASSOCIATES INC,4,2/25/2015,edgar/data/1056696/0001209191-15-018526.txt
21482,1056696,MANHATTAN ASSOCIATES INC,4,2/26/2015,edgar/data/1056696/0001209191-15-019074.txt
21483,1056696,MANHATTAN ASSOCIATES INC,4,3/3/2015,edgar/data/1056696/0001209191-15-021911.txt
21484,1056696,MANHATTAN ASSOCIATES INC,4,3/3/2015,edgar/data/1056696/0001209191-15-021912.txt
21485,1056696,MANHATTAN ASSOCIATES INC,4,3/3/2015,edgar/data/1056696/0001209191-15-021913.txt
21486,1056696,MANHATTAN ASSOCIATES INC,4,3/3/2015,edgar/data/1056696/0001209191-15-021914.txt
21487,1056696,MANHATTAN ASSOCIATES INC,4,3/3/2015,edgar/data/1056696/0001209191-15-021916.txt
21488,1056696,MANHATTAN ASSOCIATES INC,4,3/5/2015,edgar/data/1056696/0001209191-15-022941.txt
21489,1056696,MANHATTAN ASSOCIATES INC,4,3/5/2015,edgar/data/1056696/0001209191-15-022943.txt
21490,1056696,MANHATTAN ASSOCIATES INC,4,3/5/2015,edgar/data/1056696/0001209191-15-022948.txt
21491,1056696,MANHATTAN ASSOCIATES INC,4,3/5/2015,edgar/data/1056696/0001209191-15-022951.txt
21492,1056696,MANHATTAN ASSOCIATES INC,4,3/5/2015,edgar/data/1056696/0001209191-15-022956.txt
21493,1056696,MANHATTAN ASSOCIATES INC,8-K,2/3/2015,edgar/data/1056696/0001193125-15-031447.txt
21494,1056696,MANHATTAN ASSOCIATES INC,SC 13G/A,1/9/2015,edgar/data/1056696/0001086364-15-000126.txt
21495,1056696,MANHATTAN ASSOCIATES INC,SC 13G/A,1/28/2015,edgar/data/1056696/0000914208-15-000038.txt
21496,1056696,MANHATTAN ASSOCIATES INC,SC 13G/A,2/5/2015,edgar/data/1056696/0001398344-15-000668.txt
21497,1056696,MANHATTAN ASSOCIATES INC,SC 13G/A,2/11/2015,edgar/data/1056696/0000932471-15-004614.txt
21498,1056696,MANHATTAN ASSOCIATES INC,SC 13G,1/13/2015,edgar/data/1056696/0000940394-15-000045.txt
21499,1056696,MANHATTAN ASSOCIATES INC,SC 13G,2/12/2015,edgar/data/1056696/0001140361-15-005780.txt
23542,1062047,CONVERGYS CORP,10-K,2/18/2015,edgar/data/1062047/0001062047-15-000006.txt
23543,1062047,CONVERGYS CORP,3,2/17/2015,edgar/data/1062047/0001209191-15-014589.txt
23544,1062047,CONVERGYS CORP,4,2/12/2015,edgar/data/1062047/0001209191-15-012685.txt
23545,1062047,CONVERGYS CORP,4,2/12/2015,edgar/data/1062047/0001209191-15-012690.txt
23546,1062047,CONVERGYS CORP,4,2/12/2015,edgar/data/1062047/0001209191-15-012733.txt
23547,1062047,CONVERGYS CORP,4,2/12/2015,edgar/data/1062047/0001209191-15-012741.txt
23548,1062047,CONVERGYS CORP,4,2/12/2015,edgar/data/1062047/0001209191-15-012744.txt
23549,1062047,CONVERGYS CORP,4,2/12/2015,edgar/data/1062047/0001209191-15-012749.txt
23550,1062047,CONVERGYS CORP,4,2/17/2015,edgar/data/1062047/0001209191-15-014551.txt
23551,1062047,CONVERGYS CORP,4,2/17/2015,edgar/data/1062047/0001209191-15-014553.txt
23552,1062047,CONVERGYS CORP,4,2/17/2015,edgar/data/1062047/0001209191-15-014555.txt
23553,1062047,CONVERGYS CORP,4,2/17/2015,edgar/data/1062047/0001209191-15-014556.txt
23554,1062047,CONVERGYS CORP,4,2/17/2015,edgar/data/1062047/0001209191-15-014559.txt
23555,1062047,CONVERGYS CORP,4,2/24/2015,edgar/data/1062047/0001209191-15-017871.txt
23556,1062047,CONVERGYS CORP,4,2/24/2015,edgar/data/1062047/0001209191-15-017879.txt
23557,1062047,CONVERGYS CORP,4,2/25/2015,edgar/data/1062047/0001209191-15-018439.txt
23558,1062047,CONVERGYS CORP,4,2/25/2015,edgar/data/1062047/0001209191-15-018446.txt
23559,1062047,CONVERGYS CORP,4,2/25/2015,edgar/data/1062047/0001209191-15-018452.txt
23560,1062047,CONVERGYS CORP,4,2/25/2015,edgar/data/1062047/0001209191-15-018461.txt
23561,1062047,CONVERGYS CORP,4,2/25/2015,edgar/data/1062047/0001209191-15-018470.txt
23562,1062047,CONVERGYS CORP,4,2/25/2015,edgar/data/1062047/0001209191-15-018473.txt
23563,1062047,CONVERGYS CORP,4,2/26/2015,edgar/data/1062047/0001209191-15-019015.txt
23564,1062047,CONVERGYS CORP,4,3/9/2015,edgar/data/1062047/0001209191-15-024057.txt
23565,1062047,CONVERGYS CORP,4,3/16/2015,edgar/data/1062047/0001209191-15-026448.txt
23566,1062047,CONVERGYS CORP,8-K,1/28/2015,edgar/data/1062047/0001193125-15-023701.txt
23567,1062047,CONVERGYS CORP,8-K,2/18/2015,edgar/data/1062047/0001193125-15-052770.txt
23568,1062047,CONVERGYS CORP,8-K,3/16/2015,edgar/data/1062047/0001193125-15-093721.txt
23569,1062047,CONVERGYS CORP,ARS,3/16/2015,edgar/data/1062047/9999999997-15-006842.txt
23570,1062047,CONVERGYS CORP,DEF 14A,3/12/2015,edgar/data/1062047/0001193125-15-088605.txt
23571,1062047,CONVERGYS CORP,SC 13G/A,1/23/2015,edgar/data/1062047/0001086364-15-000668.txt
23572,1062047,CONVERGYS CORP,SC 13G/A,2/2/2015,edgar/data/1062047/0000906304-15-000221.txt
