,CIK,Company Name,Form Type,Date Filed,Filename,Text
13681,1062449,BUFFALO WILD WINGS INC,8-K,2015-12-08,edgar/data/1062449/0001062449-15-000046.txt,
159748,20212,CHURCHILL DOWNS INC,8-K,2015-10-02,edgar/data/20212/0000020212-15-000035.txt,
159749,20212,CHURCHILL DOWNS INC,8-K,2015-10-28,edgar/data/20212/0000020212-15-000041.txt,
159750,20212,CHURCHILL DOWNS INC,8-K,2015-11-05,edgar/data/20212/0000020212-15-000044.txt,
159751,20212,CHURCHILL DOWNS INC,8-K,2015-11-19,edgar/data/20212/0000020212-15-000048.txt,
159752,20212,CHURCHILL DOWNS INC,8-K,2015-12-01,edgar/data/20212/0000020212-15-000050.txt,
159753,20212,CHURCHILL DOWNS INC,8-K,2015-12-02,edgar/data/20212/0000020212-15-000052.txt,
159754,20212,CHURCHILL DOWNS INC,8-K,2015-12-15,edgar/data/20212/0000020212-15-000054.txt,
160970,24491,COOPER TIRE & RUBBER CO,8-K,2015-11-02,edgar/data/24491/0001144204-15-062064.txt,
165930,355811,GENTEX CORP,8-K,2015-10-21,edgar/data/355811/0000355811-15-000050.txt,
168872,51548,INTERNATIONAL SPEEDWAY CORP,8-K,2015-10-08,edgar/data/51548/0000051548-15-000032.txt,
168873,51548,INTERNATIONAL SPEEDWAY CORP,8-K,2015-10-23,edgar/data/51548/0000051548-15-000036.txt,
168874,51548,INTERNATIONAL SPEEDWAY CORP,8-K,2015-10-29,edgar/data/51548/0000051548-15-000038.txt,
170314,65011,MEREDITH CORP,8-K,2015-10-29,edgar/data/65011/0000065011-15-000133.txt,
170315,65011,MEREDITH CORP,8-K,2015-10-29,edgar/data/65011/0000065011-15-000135.txt,
170316,65011,MEREDITH CORP,8-K,2015-11-12,edgar/data/65011/0000065011-15-000160.txt,
170317,65011,MEREDITH CORP,8-K,2015-11-13,edgar/data/65011/0000065011-15-000163.txt,
170318,65011,MEREDITH CORP,8-K,2015-12-07,edgar/data/65011/0000065011-15-000170.txt,
171498,703351,BRINKER INTERNATIONAL INC,8-K,2015-10-20,edgar/data/703351/0000703351-15-000051.txt,
171499,703351,BRINKER INTERNATIONAL INC,8-K,2015-10-30,edgar/data/703351/0000703351-15-000054.txt,
171917,706688,AARON'S INC,8-K,2015-10-21,edgar/data/706688/0001193125-15-349386.txt,
171918,706688,AARON'S INC,8-K,2015-10-30,edgar/data/706688/0000706688-15-000181.txt,
171919,706688,AARON'S INC,8-K,2015-12-10,edgar/data/706688/0001193125-15-399247.txt,
174540,724606,PANERA BREAD CO,8-K,2015-10-27,edgar/data/724606/0000724606-15-000032.txt,
174541,724606,PANERA BREAD CO,8-K,2015-11-10,edgar/data/724606/0000724606-15-000036.txt,
175315,730263,THOR INDUSTRIES INC,8-K,2015-10-01,edgar/data/730263/0001144204-15-057685.txt,
