,CIK,Company Name,Form Type,Date Filed,Filename,Text
216667,931336,DEAN FOODS CO,8-K,2014-11-18,edgar/data/931336/0001193125-14-417028.txt,
220245,98677,TOOTSIE ROLL INDUSTRIES INC,8-K,2014-10-24,edgar/data/98677/0000098677-14-000010.txt,
4284,1020859,UNITED NATURAL FOODS INC,8-K,2016-11-02,edgar/data/1020859/0001020859-16-000363.txt,
4285,1020859,UNITED NATURAL FOODS INC,8-K,2016-12-07,edgar/data/1020859/0001020859-16-000376.txt,
4286,1020859,UNITED NATURAL FOODS INC,8-K,2016-12-19,edgar/data/1020859/0001020859-16-000386.txt,
4287,1020859,UNITED NATURAL FOODS INC,8-K,2016-12-22,edgar/data/1020859/0001020859-16-000390.txt,
24969,1128928,FLOWERS FOODS INC,8-K,2016-10-03,edgar/data/1128928/0001193125-16-729078.txt,
24970,1128928,FLOWERS FOODS INC,8-K,2016-10-21,edgar/data/1128928/0001193125-16-743303.txt,
24971,1128928,FLOWERS FOODS INC,8-K,2016-11-10,edgar/data/1128928/0001193125-16-765079.txt,
24972,1128928,FLOWERS FOODS INC,8-K,2016-12-09,edgar/data/1128928/0001193125-16-789557.txt,
158645,57515,LANCASTER COLONY CORP,8-K,2016-10-27,edgar/data/57515/0000057515-16-000054.txt,
158646,57515,LANCASTER COLONY CORP,8-K,2016-11-22,edgar/data/57515/0000057515-16-000058.txt,
183822,8868,AVON PRODUCTS INC,8-K,2016-10-11,edgar/data/8868/0000008868-16-000183.txt,
183823,8868,AVON PRODUCTS INC,8-K,2016-10-13,edgar/data/8868/0000950157-16-002339.txt,
183824,8868,AVON PRODUCTS INC,8-K,2016-11-03,edgar/data/8868/0000008868-16-000191.txt,
183825,8868,AVON PRODUCTS INC,8-K,2016-12-01,edgar/data/8868/0000008868-16-000194.txt,
193159,931336,DEAN FOODS CO,8-K,2016-11-07,edgar/data/931336/0000931336-16-000046.txt,
196221,98677,TOOTSIE ROLL INDUSTRIES INC,8-K,2016-10-26,edgar/data/98677/0000098677-16-000022.txt,
